ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
2a00:f826:8:1::254,opennic1.eth-services.de.,200462,Lennart Seitz,DE,,BIND,,true,1.00,2021-05-03T22:24:39Z,2021-03-28T21:03:36Z
2001:678:b28::54,recursor01.haj.ipfire.org.,204867,Lightning Wire Labs GmbH,DE,,Lightning Wire Labs DNS Service https://dns.lightningwirelabs.com/,,true,1.00,2021-05-21T16:46:10Z,2021-03-28T21:11:23Z
194.150.168.168,dns.as250.net.,250,AS250.net Foundation,DE,,,,true,0.94,2021-05-20T12:49:28Z,2021-03-28T21:14:11Z
172.104.49.100,resolver5.freedns.zone.powered.by.ihost24.com.,63949,"Linode, LLC",SG,Singapore,PowerDNS Recursor 4.1.1,,false,1.00,2021-06-10T22:45:22Z,2021-03-28T21:26:26Z
2a05:dfc7:5::5353,anytwo.dnsrec.meo.ws.,204136,Silent Ghost e.U.,AQ,,,,true,1.00,2021-05-31T00:46:23Z,2021-03-28T21:28:12Z
2620:fe::10,dns10.quad9.net.,19281,QUAD9-AS-1,US,,Q9-P-7.0,,true,0.98,2021-04-23T22:24:55Z,2021-03-28T21:28:13Z
2a02:6b8:0:1::feed:a11,secondary.family.dns.yandex.ru.,13238,YANDEX LLC,RU,Moscow,PowerDNS Recursor 4.0.8 (built Dec 11 2017 10:39:35 by root@4351f9921268),,false,1.00,2021-04-23T22:25:07Z,2021-03-28T21:28:14Z
213.55.96.148,,24757,Ethiopian Telecommunication Corporation,ET,,,,false,0.99,2021-05-03T22:23:52Z,2021-03-30T06:00:06Z
2001:148f:fffe::1,odvr.nic.cz.,20701,"CZ.NIC, z.s.p.o.",CZ,,,,true,0.99,2021-05-03T22:24:01Z,2021-03-30T21:54:20Z
198.50.135.208,root.dns.caramelfox.net.,16276,OVH SAS,CA,,[hidden],,true,1.00,2021-05-25T09:46:31Z,2021-03-31T12:57:11Z
103.85.104.23,,136255,"Telecom International Myanmar Co., Ltd",MM,Yangon,x.x.x,,false,0.99,2021-05-20T12:49:21Z,2021-04-02T16:42:43Z
77.42.130.37,dns-s1.ogeronet.net.,42003,Libantelecom,LB,Beirut,,,false,0.99,2021-05-03T22:24:27Z,2021-04-03T20:15:11Z
69.162.67.202,202-67-162-69.static.reverse.lstn.net.,46475,LIMESTONENETWORKS,US,,anonymous,,false,1.00,2021-05-21T16:46:09Z,2021-04-05T22:01:50Z
114.34.162.81,dns.taipei.,3462,Data Communication Business Group,TW,New Taipei,,,true,1.00,2021-05-17T21:56:51Z,2021-04-06T04:06:06Z
103.85.107.101,,136255,"Telecom International Myanmar Co., Ltd",MM,Yangon,x.x.x,,false,0.93,2021-05-03T22:23:42Z,2021-04-07T03:35:25Z
103.121.228.1,ns1.dns.myanmarapn.com.,138168,MyanmarAPN,MM,Yangon,9.11.5-P4-5.1-Debian,,true,0.70,2021-05-03T22:24:04Z,2021-04-07T03:52:26Z
103.154.241.252,,141015,Myanmar Link Telecommunication Ltd,MM,Yangon,,,false,0.77,2021-05-03T22:24:38Z,2021-04-07T04:10:00Z
45.90.30.126,dns2.nextdns.io.,34939,"nextdns, Inc.",US,,,,true,1.00,2021-05-20T10:55:21Z,2021-04-08T10:45:05Z
205.171.3.66,redirect.centurytel.net.,209,CENTURYLINK-US-LEGACY-QWEST,US,,,,false,0.97,2021-05-20T10:55:29Z,2021-04-08T10:49:48Z
205.171.202.166,redirect.centurytel.net.,209,CENTURYLINK-US-LEGACY-QWEST,US,,,,false,0.98,2021-05-17T21:56:37Z,2021-04-08T10:49:50Z
118.189.211.221,221.211.189.118.static.m1net.com.sg.,4773,MobileOne Ltd. Mobile/Internet Service Provider Singapore,SG,Singapore,DNSServer,,false,0.92,2021-05-25T09:46:44Z,2021-04-12T08:56:21Z
147.78.3.252,,48031,PE Ivanov Vitaliy Sergeevich,UA,Kyiv,,,true,1.00,2021-05-03T22:24:54Z,2021-04-12T16:19:00Z
92.223.65.71,dns.comss.one.,199524,G-Core Labs S.A.,RU,St Petersburg,,,true,0.86,2021-05-03T22:25:06Z,2021-04-13T07:01:09Z
194.67.109.176,194-67-109-176.cloudvps.regruhosting.ru.,197695,"Domain names registrar REG.RU, Ltd",RU,,,,true,0.97,2021-05-03T22:24:06Z,2021-04-13T07:01:14Z
93.115.24.205,dns.comss.one.,16125,UAB Cherry Servers,LT,,,,true,0.92,2021-05-03T22:24:22Z,2021-04-13T07:01:23Z
151.115.56.180,dns.comss.one.,12876,Online S.a.s.,PL,Warsaw,,,true,1.00,2021-05-20T12:49:39Z,2021-04-13T07:01:26Z
172.105.162.206,sydney.cdn.parrot.sh.,63949,"Linode, LLC",AU,Sydney,PowerDNS Recursor 4.1.11,,false,1.00,2021-05-03T22:24:05Z,2021-04-13T07:49:51Z
51.254.25.115,ip115.ip-51-254-25.eu.,16276,OVH SAS,FR,Paris,[hidden],,true,1.00,2021-05-03T22:24:26Z,2021-04-13T07:50:04Z
51.89.88.77,srv5.it-df.net.,16276,OVH SAS,DE,Frankfurt am Main,none,,true,1.00,2021-05-20T10:55:28Z,2021-04-13T07:50:04Z
80.78.132.79,,44592,SkyLink Data Center BV,DE,,none,,true,1.00,2021-05-03T22:24:35Z,2021-04-13T07:51:19Z
185.52.0.55,,198203,RouteLabel V.O.F.,NL,Alblasserdam,[hidden],,false,1.00,2021-05-20T12:49:35Z,2021-04-13T07:51:23Z
94.16.114.254,mail.jabber-germany.de.,197540,netcup GmbH,DE,,,,false,0.99,2021-05-31T12:53:11Z,2021-04-13T07:52:33Z
78.47.243.3,static.3.243.47.78.clients.your-server.de.,24940,Hetzner Online GmbH,DE,,,,false,1.00,2021-05-03T22:24:33Z,2021-04-13T07:52:55Z
144.76.157.242,cerf.iriseden.eu.,24940,Hetzner Online GmbH,DE,Lindlar,,,true,0.87,2021-05-20T12:49:35Z,2021-04-13T07:54:06Z
95.217.229.211,renard.iriseden.eu.,24940,Hetzner Online GmbH,FI,Helsinki,,,true,0.87,2021-05-17T21:56:29Z,2021-04-13T07:54:08Z
185.112.147.95,vps-185-112-147-95.1984.is.,44925,1984 ehf,IS,,[hidden],,true,0.84,2021-05-03T22:25:47Z,2021-04-13T07:54:20Z
107.155.83.188,107-155-83-188.static.maxkvm.net.,29802,HVC-AS,US,Dallas,,,true,1.00,2021-05-03T22:23:44Z,2021-04-13T07:57:35Z
162.245.221.19,fall.helpingheroesusa.com.,26548,PUREVOLTAGE-INC,US,Staten Island,,,true,0.99,2021-05-03T22:25:55Z,2021-04-13T07:57:39Z
37.48.120.196,,60781,LeaseWeb Netherlands B.V.,NL,,unbound 1.13.1,,true,0.99,2021-05-03T22:25:01Z,2021-04-13T08:22:25Z
46.10.205.252,46-10-205-252.btc-net.bg.,8866,Vivacom,BG,Sofia,,,false,0.84,2021-05-06T06:37:06Z,2021-04-13T08:32:33Z
172.104.59.35,dns.vaguthu.mv.,63949,"Linode, LLC",SG,Singapore,,,true,0.98,2021-04-23T22:24:58Z,2021-04-15T21:48:21Z
201.144.94.245,nsbal-mex-vallejo-3.uninet.net.mx.,8151,Uninet S.A. de C.V.,MX,Iztapalapa,,,false,1.00,2021-05-16T21:30:52Z,2021-04-16T04:35:44Z
105.96.43.54,,36947,Telecom Algeria,DZ,Annaba,dnsmasq-2.79,,false,0.97,2021-05-03T22:23:57Z,2021-04-16T11:00:42Z
202.56.128.30,pridns.d1.com.sg.,9656,T-SYSTEMS SINGAPORE PTE LTD,SG,Singapore,9.11.22,,false,0.99,2021-05-13T06:31:40Z,2021-04-17T12:41:33Z
89.234.141.66,recursif.arn-fai.net.,60630,Association Alsace Reseau Neutre,FR,Strasbourg,,,true,0.99,2021-05-03T22:25:05Z,2021-04-18T01:01:14Z
185.242.177.8,rfree1.blue-shield.at.,35369,LINZ STROM GAS WAERME GmbH fuer Energiedienstleistungen und Telekommunikation,AT,,free,,true,0.98,2021-06-15T20:10:17Z,2021-04-19T06:01:26Z
188.68.53.22,dns.cheazey.net.,197540,netcup GmbH,DE,Uelzen,dnsmasq-pi-hole-2.85,,false,0.93,2021-05-03T22:26:50Z,2021-04-21T07:04:38Z
2a03:4000:6:e5fc::1,dns.cheazey.net.,197540,netcup GmbH,DE,,dnsmasq-pi-hole-2.85,,false,0.96,2021-05-03T22:24:36Z,2021-04-21T07:04:38Z
